date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-05-03,8.8,2.5,332.0,22.1,40.66666666666667,74.70000000000002,9.18888888888889,9.000000000000002,286.0,271.0,250.14285714285714,5,124,255.0
2020-05-04,9.2,4.5,255.0,2.5,29.1,60.60000000000002,9.166666666666666,8.871428571428572,332.0,286.0,260.85714285714283,5,125,221.0
2020-05-05,13.5,7.6,221.0,4.5,14.6,66.80000000000003,10.5,9.72857142857143,255.0,286.0,265.85714285714283,5,126,254.0
2020-05-06,11.6,10.2,254.0,7.6,22.299999999999997,73.00000000000003,11.433333333333332,10.12857142857143,221.0,332.0,265.0,5,127,260.0
2020-05-07,12.1,0.0,260.0,10.2,17.799999999999997,62.96666666666668,12.4,10.566666666666666,254.0,255.0,272.14285714285717,5,128,271.0
2020-05-08,16.5,0.0,271.0,0.0,10.2,46.90000000000001,13.4,11.6,260.0,221.0,270.57142857142856,5,129,358.0
2020-05-09,19.1,0.0,358.0,0.0,0.0,24.80000000000001,15.9,12.971428571428573,271.0,254.0,268.42857142857144,5,130,489.0
2020-05-10,20.1,0.0,489.0,0.0,0.0,22.30000000000001,18.566666666666666,14.585714285714287,358.0,260.0,278.7142857142857,5,131,565.0
2020-05-11,21.1,0.0,565.0,0.0,0.0,17.80000000000001,20.1,16.285714285714285,489.0,271.0,301.14285714285717,5,132,535.0
2020-05-12,15.2,0.9,535.0,0.0,0.9,11.100000000000014,18.8,16.52857142857143,565.0,358.0,345.42857142857144,5,133,477.0
2020-05-13,14.5,7.4,477.0,0.9,8.3,8.300000000000015,16.933333333333334,16.942857142857143,535.0,489.0,390.2857142857143,5,134,432.0
2020-05-14,13.5,0.2,432.0,7.4,8.5,8.500000000000014,14.4,17.142857142857142,477.0,565.0,422.14285714285717,5,135,379.0
2020-05-15,14.6,0.0,379.0,0.2,7.6000000000000005,8.500000000000014,14.200000000000001,16.871428571428574,432.0,535.0,446.7142857142857,5,136,341.0
2020-05-16,10.3,15.0,341.0,0.0,15.2,23.500000000000014,12.799999999999999,15.614285714285714,379.0,477.0,462.14285714285717,5,137,433.0
